q,status,served,u5,o1_norm,o2_norm,dist_to_ideal,seconds,n_chosen
0.0,Optimal,175366.77490010823,29473.50061364688,0.9664143985030669,0.9664824508751723,0.0474491172441178,16.12565302848816,13
0.25,Optimal,155552.4031740063,26228.93645190093,0.8572210000140743,0.8600880878786701,0.19990294142515191,15.278578996658325,14
0.5,Optimal,177951.20458219812,29910.212068835986,0.9806567203916519,0.9808029064962803,0.02725235521927037,12.852588176727295,13
0.75,Optimal,175523.11398949177,29497.804810457797,0.9672759547876891,0.9672794237223505,0.04627633571274677,16.077892065048218,13
1.0,Optimal,178836.08768877684,30054.964679167017,0.9855331502380519,0.9855495723042277,0.020447606281066788,15.626291036605835,12
