k,point,q,pct_total,pct_u5
5,equity (q=0),0.0,75.24960043372869,46.47422861498412
5,compromise,0.0,75.24960043372869,46.47422861498412
5,efficiency (q=1),1.0,75.24960043434643,46.466697930999274
10,equity (q=0),0.0,75.8868079863078,46.867635255829214
10,compromise,0.0,75.8868079863078,46.867635255829214
10,efficiency (q=1),1.0,75.88680798670147,46.85981898162859
20,equity (q=0),0.0,74.49668894349674,46.00490215347748
20,compromise,1.0,75.97047048399868,46.91250379166331
20,efficiency (q=1),1.0,75.97047048399868,46.91250379166331
