#lat_deg,#lon_deg,#report_date,#status_id,#water_tech_category,#clean_country_name,#clean_adm2,#clean_adm4,#install_year,#management_clean,#status_clean,local_population_1km,usage_capacity,is_urban,is_duplicate,district
1.3380493,31.3108288,2022 Mar 14 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Buhimba Town Council,"2,020",,Functional,1661.0,300.0,False,,KIKUUBE
1.3833,31.27908,2013 Mar 20 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Buhimba,"2,012",,Non-Functional,748.0,300.0,False,,KIKUUBE
1.1699997,30.7987204,2022 Mar 13 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kyangwali,"2,020",,Functional,5485.0,300.0,False,,KIKUUBE
1.3328134,31.2069595,2022 Mar 03 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kikuube Town Council,"2,021",,Functional,1988.0,300.0,False,,KIKUUBE
1.36397464,31.1335737,2010 May 08 12:00:00 AM,Yes,,Uganda,Kikuube,Kiziranfumbi,"2,004",Community Management,"Functional, needs repair",795.0,300.0,False,,KIKUUBE
1.4101269,31.1581912,2022 Mar 04 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Bugambe,"2,009",Community Management,Functional,566.0,300.0,False,,KIKUUBE
1.204694,30.8996698,2022 Feb 28 12:00:00 AM,Yes,,Uganda,Kikuube,Kyangwali,,Community Management,Functional,1431.0,250.0,False,,KIKUUBE
1.1966307,30.7589092,2022 Mar 10 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kyangwali,"2,022",Community Management,Functional,1203.0,300.0,False,,KIKUUBE
1.1733815,30.7345432,2022 Mar 12 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kyangwali,"2,020",,Functional,372.0,300.0,False,,KIKUUBE
1.1864104,30.7632408,2022 Mar 10 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kyangwali,"2,018",Community Management,Functional,1227.0,300.0,False,,KIKUUBE
1.2292707,30.7826593,2022 Mar 03 12:00:00 AM,Yes,,Uganda,Kikuube,Kyangwali,"2,008",,Functional,1851.0,250.0,False,,KIKUUBE
1.3060117,31.3033937,2022 Feb 28 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Buhimba,"2,019",Community Management,Functional,671.0,300.0,False,,KIKUUBE
1.20746641,30.77348911,2010 May 05 12:00:00 AM,Yes,,Uganda,Kikuube,Kyangwali,"2,007",Community Management,"Functional, needs repair",899.0,300.0,False,,KIKUUBE
1.44570711,31.24359392,2010 May 06 12:00:00 AM,Yes,,Uganda,Kikuube,Bugambe,"2,007",Community Management,"Functional, needs repair",805.0,300.0,False,,KIKUUBE
1.3985362,31.0981078,2022 Mar 07 12:00:00 AM,Yes,,Uganda,Kikuube,Kiziranfumbi,"2,014",,Functional,1273.0,250.0,False,,KIKUUBE
