#lat_deg,#lon_deg,#report_date,#status_id,#water_tech_category,#clean_country_name,#clean_adm2,#clean_adm4,#install_year,#management_clean,#status_clean,local_population_1km,usage_capacity,is_urban,is_duplicate,district
1.4468099,30.916352,2022 Mar 11 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kabwoya,,,Non-Functional,1177.0,300.0,False,,KIKUUBE
1.1604899,30.80155,2022 Mar 11 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,,Community Management,Non-Functional,6562.0,300.0,False,,KIKUUBE
1.3822421,31.1160689,2022 Mar 09 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kiziranfumbi,"2,022",,Non-Functional,1245.0,300.0,False,,KIKUUBE
1.1396033,30.7153226,2022 Mar 13 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,013",Community Management,Non-Functional,514.0,300.0,False,,KIKUUBE
1.32279028,31.30161979,2010 Oct 01 12:00:00 AM,No,,Uganda,Kikuube,Buhimba Town Council,"2,000",Other Institutional Management,Non-Functional,749.0,50.0,False,,KIKUUBE
1.4334582,31.2113005,2022 Mar 12 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Bugambe,,Community Management,Non-Functional,433.0,300.0,False,,KIKUUBE
1.3364768,31.3144111,2022 Mar 06 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Buhimba Town Council,"2,010",,Non-Functional,1731.0,300.0,False,,KIKUUBE
1.27461664,31.23461616,2010 May 08 12:00:00 AM,No,,Uganda,Kikuube,Kikuube Town Council,"2,003",Other Institutional Management,Non-Functional,670.0,50.0,False,,KIKUUBE
1.1608393,31.0311688,2022 Mar 06 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kabwoya,,,Non-Functional,1307.0,300.0,False,,KIKUUBE
1.1280532,30.7542346,2022 Mar 09 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,017",Community Management,Non-Functional,1171.0,300.0,False,,KIKUUBE
1.3502275,31.1966209,2022 Mar 05 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kikuube Town Council,,Community Management,Non-Functional,637.0,300.0,False,,KIKUUBE
1.2917289,31.3015945,2022 Feb 28 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Buhimba,"2,011",Community Management,Non-Functional,887.0,300.0,False,,KIKUUBE
1.3296487,31.205466,2022 Mar 03 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kikuube Town Council,"2,021",,Non-Functional,2018.0,300.0,False,,KIKUUBE
1.2747964,31.20703332,2010 May 08 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kiziranfumbi,"1,996",Community Management,Non-Functional,1059.0,300.0,False,,KIKUUBE
1.3063072,31.2294192,2022 Mar 11 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kikuube Town Council,"2,020",Community Management,Non-Functional,527.0,300.0,False,,KIKUUBE
1.300479,31.1681672,2022 Mar 11 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kiziranfumbi,,,Non-Functional,1127.0,300.0,False,,KIKUUBE
